label,text,cleaned_text
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok home look timing msg Xuhui go learn lesson
ham,"Oops, I'll let you know when my roommate's done",oop let know roommate
ham,I see the letter B on my car,letter car
ham,Anything lor... U decide...,lor decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday texte decide tomo try invite
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls ahead watt want sure great weekend Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mm Yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,Rodger Burns MSG try reply sms free nokia mobile free camcorder delivery tomorrow
ham,WHO ARE YOU SEEING?,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man endow ltgt inch
ham,No calls..messages..missed calls,call message miss call
ham,Didn't you get hep b immunisation in nigeria.,hep immunisation nigeria
ham,"Fair enough, anything going on?",fair go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler maybe ask bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,know stubborn want hospital keep tell Mark weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,think time see class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like ltgt half smart get gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,fyi ride early tomorrow morning crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow realize embarassed accomodation think like good happy the cave sorry sorry offer sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS ac Sptv New Jersey Devils Detroit Red Wings play Ice Hockey correct Incorrect end Reply END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know Mallika Sherawat yesterday find ltURLgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat year special cinema pass Suprman Matrix StarWars etc free bx ip we pm not miss
ham,"Sorry, I'll call later in meeting.",sorry later meeting
ham,Tell where you reached,tell reach
ham,Yes..gauti and sehwag out of odi series.,yes gauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,go to pick burger way home pain kill
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker
ham,Its a part of checking IQ,check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommate take forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser say wun cut short say cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",value customer pleased advise follow recent review Mob award Bonus Prize
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song dedicate send ur valuable frnd rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Urgent ur award complimentary trip EuroDisinc Trav AcoEntry claim txt DIS morefrmmob ShrAcomOrSglSuplt LS aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce Barbie come Ken stuff
ham,I plane to give on this month end.,plane month end
ham,Wah lucky man... Then can save money... Hee...,Wah lucky man save money hee
ham,Finished class where are you.,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE IM HOME WANNA xx
ham,K..k:)where are you?how did you performed?,kwhere youhow perform
ham,U can call me now...,
ham,I am waiting machan. Call me once you free.,wait machan free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,like people shy pa
ham,Does not operate after  &lt;#&gt;  or what,operate ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,look job Ta earn
ham,"Sorry, I'll call later",sorry later
ham,K. Did you call me just now ah? ,ah
ham,Ok i am on the way to home hi hi,ok way home hi hi
ham,You will be in the place of that man,place man
ham,Yup next stop.,yup stop
ham,"I call you later, don't have network. If urgnt, sms me.",later network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real get yo need ticket jacket multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes start send request pain come bed double coin factory get to cash nitro
ham,I'm really not up to it still tonight babe,tonight babe
ham,"Ela kano.,il download, come wen ur free..",Ela kano il download come wen ur free
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah Dont stand close tho youll catch
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet night spend late afternoon casualty mean stuffmoro include time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile Pleasure Smile Pain Smile trouble pour like Rain Smile sum hurt Smile becoz love smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,customer service representative ampm WON guarantee cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,not plan buy later check lido get afternoon finish work
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone wait collect simply text password MIX verify usher Britney FML
ham,Watching telugu movie..wat abt u?,watch telugu movie wat abt
ham,i see. When we finish we have loads of loans to pay,finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hol yes bit run forgot hairdresser appointment need home shower cause prob ham
ham,Please don't text me anymore. I have nothing else to say.,text anymore
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay ur price long legal Wen pick ave ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,look car buy go the drive test
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press copy friend Callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow right mean guess give boston man change search location nyc change cuz signin page say boston
ham,Umma my life and vava umma love you lot dear,Umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank make birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",aight hit cash
ham,How would my ip address test that considering my computer isn't a minecraft server,ip address test consider computer minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like well lie play joke
ham,Dont worry. I guess he's busy.,not worry guess busy
ham,What is the plural of the noun research?,plural noun research
ham,Going for dinner.msg you after.,go dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ok wif cos like try new thing scare dun like mah cos say loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT try contact weekend draw show win prize guarantee claim Code valid hrs ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence formal fine juz tt eatin puttin weight haha anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin PA say Happy Bday Boss feel special askd lunch lunch invite apartment go
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner specially select receive holiday flight inc speak live operator claim min
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Goodo yes speak friday egg potato ratio tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncle inform pay school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private Account Statement show unredeemed Bonus Points claim Identifier Code expire
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",URGENT Mobile award Bonus Caller Prize final try contact Landline BOXWRC PPM
ham,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today Voda number end select receive award match quote claim code standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,go sao mu today
ham,ÌÏ predict wat time Ì_'ll finish buying?,predict wat time ll finish buying
ham,"Good stuff, will do.",good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",know yetunde send money send text bother send not involve impose place apologise
ham,Are you there in room.,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,HEY GIRL hope DEL BAK long TIME sum TIME LUCYxx
ham,K..k:)how much does it cost?,khow cost
ham,I'm home.,home
ham,"Dear, will call Tmorrow.pls accomodate.",Dear tmorrowpls accomodate
ham,First answer my question.,answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,Sunshine Quiz Wkly win Sony DVD player know country Algarve txt ansr SP tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want lay tonight want real dog location send direct ur mob join UK large Dogging Network bt txte GRAVEL nt eca pmsgp
ham,I only haf msn. It's yijue@hotmail.com,haf msn yijuehotmailcom
ham,He is there. You call and meet him,meet
ham,No no. I will check all rooms befor activities,check room befor activity
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,rcv msgs chat svc free Hardcore service text Age verify yr network try
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,Got lazy type forget lect see pouch like nice
ham,"K, text me when you're on the way",text way
ham,"Sir, Waiting for your mail.",Sir wait mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt think nver tired little thing lovable person Coz somtime little thing occupy big Hearts Gud ni
ham,I know you are. Can you pls open the back?,know pls open
ham,Yes see ya not on the dot,yes ya dot
ham,Whats the staff name who is taking class for us?,staff take class
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",FreeMsg reply text Randy sexy female live local Luv hear Netcollex Ltd msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummawill check inour life begin qatar pls pray hard
ham,K..i deleted my contact that why?,delete contact
ham,Sindu got job in birla soft ..,sindu get job birla soft
ham,The wine is flowing and i'm i have nevering..,wine flow nevere
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine well cos need plaza mah
ham,Ok... Ur typical reply...,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press copy friend Callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show ill guess like thing exist like rain hail mist time
ham,Aaooooright are you at work?,aaooright work
ham,I'm leaving my house now...,leave house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love interview today happy good boy think meare miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement New Years delivery wait arrange delivery
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner specially select receive cash holiday flight inc speak live operator claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,safe need miss envy real life
ham,New car and house for my parents.:)i have only new job in hand:),new car house parentsi new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,love excite day spend happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,PLS stop bootydelious invite friend reply YES NO wwsmsacubootydelious stop send stop FRND
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",BangBabes ur order way receive Service Msg download ur content GoTo wap bangb tv UR mobile internet service menu
ham,I place all ur points on e cultures module already.,place ur point culture module
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent try contact weekend draw show win prize guarantee claim code valid hrs
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd good way avoid missunderstde wit beloved
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape fancy bridge need lager tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,yes completely formclark utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",Sir need AXIS BANK account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",Hmm Thk sure get time hop ard Ya free abt Muz discuss liao
ham,What time you coming down later? ,time come later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",Bloody hell not believe forget surname Mr Ill clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",go to finish bath good fine night
ham,Let me know when you've got the money so carlos can make the call,let know get money carlos
ham,U still going to the mall?,go mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay will til ltgt feel free ahead smoke ltgt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,text not reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi speak MANEESHA like know satisfied experience Reply Toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lift hope offer money need especially end month approach hurt study anyways gr weekend
ham,Lol no. U can trust me.,lol trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect
ham,"He will, you guys close?",guy close
ham,Going on nothing great.bye,go greatbye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome find job lazy work get net mummy boytoy miss
ham,"Haha awesome, be there in a minute",haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,customer service representative FREEPHONE ampm WON guarantee cash prize
ham,Have you got Xmas radio times. If not i will get it now,get Xmas radio time
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ju reach home bathe sis net tell finish
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique find August wwareyouuniquecouk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sorry join league people not touch mean great deal friend time great personal cost great week
ham,Hi :)finally i completed the course:),hi finally complete course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop suggest stay able or stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope settle new school year wishin gr day
ham,Gud mrng dear hav a nice day,Gud mrng dear hav nice day
ham,Did u got that persons story,get person story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi Kate evening hope tomorrow bit bloody babyjontet txt xx
ham,"Found it, ENC  &lt;#&gt; , where you at?",find ENC ltgt
ham,I sent you  &lt;#&gt;  bucks,send ltgt buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ve finish college txt finish love Kate xx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refill successfully INR ltDECIMALgt KeralaCircle prepay account balance ltdecimalgt Transaction ID KR ltgt
ham,Goodmorning sleeping ga.,goodmorning sleep ga
ham,U call me alter at 11 ok.,alter ok
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,like dat dun buy ericsson oso oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin PA say Happy Bday Boss feel special askd lunch lunch invite apartment go
ham,"Aight yo, dats straight dogg",aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,connection today ltDECIMALgt refund bill
ham,Both :) i shoot big loads so get ready!,shoot big load ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",bruv hope great break rewarding semester
ham,Home so we can always chat,home chat
ham,K:)k:)good:)study well.,kkgoodstudy
ham,Yup... How Ì_ noe leh...,yup noe leh
ham,Sounds great! Are you home now?,sound great home
ham,Finally the match heading towards draw as your prediction.,finally match head draw prediction
ham,Tired. I haven't slept well the past few nights.,tired sleep past night
ham,Easy ah?sen got selected means its good..,Easy ahsen get select mean good
ham,I have to take exam with march 3,exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure help let know sure ready
ham,Ok no prob. Take ur time.,ok prob ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,os call ubandu run instal hard disk use os copy important file system repair shop
ham,"Sorry, I'll call later",sorry later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,leh course happen lar romantic jus bit lor thk nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",New Mobiles txt NOKIA collect todayFrom wwtcbiz optout gbp mtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,appreciate need talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",meet ur dream partner soon ur career flyng start find free txt HORO follow ur star sign HORO ARIES
ham,Hey company elama po mudyadhu.,hey company elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher Bcoz teacher teach lesson amp conduct exam Life conduct Exam amp teach Lessons happy morning
ham,Dear good morning now only i am up,dear good morning
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,gandhipuram walk cross cut road right ltgt street road turn right
ham,Dear we are going to our rubber place,dear go rubber place
ham,"Sorry battery died, yeah I'm here",sorry battery die yeah
ham,Yes:)here tv is always available in work place..,yeshere tv available work place
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet sexy today find date flirt Join reply AGE eg Sam msg recdthirtyeight penny
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,print oh ltgt come upstairs
ham,Or ill be a little closer like at the bus stop on the same street,ill little close like bus stop street
ham,Where are you?when wil you reach here?,youwhen wil reach
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",New Theory argument win SITUATION lose person not argue ur friend kick amp correct
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,secret admirer look contact find rreveal think UR special
ham,Tomarrow final hearing on my laptop case so i cant.,Tomarrow final hearing laptop case not
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,pleassee TEL AVENT SPORTSx
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",okay shine mean sign sound well
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",tell dat baig face watch like watch give cos fr Thanx dat uve today touch
ham,U don't remember that old commercial?,remember old commercial
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,late say website not slipper
ham,I asked you to call him now ok,ask ok
ham,Kallis wont bat in 2nd innings.,Kallis will not bat inning
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,not work oh ok goodnight ill fix ready time wake dearly miss good night sleep
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulation ur award cd voucher gift guarantee Free entry wkly draw txt music TnCs ww Ldewcomwinppmxage
ham,Ranjith cal drpd Deeraj and deepak 5min hold,Ranjith cal drpd Deeraj deepak min hold
